case_id,user_id,normalized_sorusturma_no,normalized_sayi,normalized_case_type,created_at,reply_deadline
KEPCASE000041,U0000838,SOR2026000041,SAYI2026000041,REGULATORY_REVIEW,2026-05-01T02:03:00+00:00,2026-05-11T02:03:00+00:00
KEPCASE000042,U0000844,SOR2026000042,SAYI2026000042,REGULATORY_REVIEW,2026-05-01T02:06:00+00:00,2026-05-11T02:06:00+00:00
KEPCASE000043,U0000995,SOR2026000043,SAYI2026000043,REGULATORY_REVIEW,2026-05-01T02:09:00+00:00,2026-05-11T02:09:00+00:00
KEPCASE000044,U0000311,SOR2026000044,SAYI2026000044,REGULATORY_REVIEW,2026-05-01T02:12:00+00:00,2026-05-11T02:12:00+00:00
KEPCASE000045,U0000090,SOR2026000045,SAYI2026000045,REGULATORY_REVIEW,2026-05-01T02:15:00+00:00,2026-05-11T02:15:00+00:00
KEPCASE000046,U0000929,SOR2026000046,SAYI2026000046,REGULATORY_REVIEW,2026-05-01T02:18:00+00:00,2026-05-11T02:18:00+00:00
KEPCASE000047,U0000240,SOR2026000047,SAYI2026000047,REGULATORY_REVIEW,2026-05-01T02:21:00+00:00,2026-05-11T02:21:00+00:00
KEPCASE000048,U0000432,SOR2026000048,SAYI2026000048,REGULATORY_REVIEW,2026-05-01T02:24:00+00:00,2026-05-11T02:24:00+00:00
KEPCASE000049,U0000351,SOR2026000049,SAYI2026000049,REGULATORY_REVIEW,2026-05-01T02:27:00+00:00,2026-05-11T02:27:00+00:00
KEPCASE000050,U0000817,SOR2026000050,SAYI2026000050,REGULATORY_REVIEW,2026-05-01T02:30:00+00:00,2026-05-11T02:30:00+00:00
KEPCASE000051,U0000507,SOR2026000051,SAYI2026000051,REGULATORY_REVIEW,2026-05-01T02:33:00+00:00,2026-05-11T02:33:00+00:00
KEPCASE000052,U0000405,SOR2026000052,SAYI2026000052,REGULATORY_REVIEW,2026-05-01T02:36:00+00:00,2026-05-11T02:36:00+00:00
KEPCASE000053,U0001010,SOR2026000053,SAYI2026000053,REGULATORY_REVIEW,2026-05-01T02:39:00+00:00,2026-05-11T02:39:00+00:00
KEPCASE000054,U0000284,SOR2026000054,SAYI2026000054,REGULATORY_REVIEW,2026-05-01T02:42:00+00:00,2026-05-11T02:42:00+00:00
KEPCASE000055,U0000439,SOR2026000055,SAYI2026000055,REGULATORY_REVIEW,2026-05-01T02:45:00+00:00,2026-05-11T02:45:00+00:00
KEPCASE000056,U0000664,SOR2026000056,SAYI2026000056,REGULATORY_REVIEW,2026-05-01T02:48:00+00:00,2026-05-11T02:48:00+00:00
KEPCASE000057,U0000441,SOR2026000057,SAYI2026000057,REGULATORY_REVIEW,2026-05-01T02:51:00+00:00,2026-05-11T02:51:00+00:00
KEPCASE000058,U0001037,SOR2026000058,SAYI2026000058,REGULATORY_REVIEW,2026-05-01T02:54:00+00:00,2026-05-11T02:54:00+00:00
KEPCASE000059,U0000342,SOR2026000059,SAYI2026000059,ICRA,2026-05-01T02:57:00+00:00,2026-05-11T02:57:00+00:00
KEPCASE000060,U0000573,SOR2026000060,SAYI2026000060,REGULATORY_REVIEW,2026-05-01T03:00:00+00:00,2026-05-11T03:00:00+00:00
KEPCASE000061,U0001184,SOR2026000061,SAYI2026000061,REGULATORY_REVIEW,2026-05-01T03:03:00+00:00,2026-05-11T03:03:00+00:00
KEPCASE000062,U0000815,SOR2026000062,SAYI2026000062,REGULATORY_REVIEW,2026-05-01T03:06:00+00:00,2026-05-11T03:06:00+00:00
KEPCASE000063,U0000595,SOR2026000063,SAYI2026000063,REGULATORY_REVIEW,2026-05-01T03:09:00+00:00,2026-05-11T03:09:00+00:00
KEPCASE000064,U0000031,SOR2026000064,SAYI2026000064,REGULATORY_REVIEW,2026-05-01T03:12:00+00:00,2026-05-11T03:12:00+00:00
KEPCASE000065,U0000710,SOR2026000065,SAYI2026000065,REGULATORY_REVIEW,2026-05-01T03:15:00+00:00,2026-05-11T03:15:00+00:00
KEPCASE000066,U0001109,SOR2026000066,SAYI2026000066,REGULATORY_REVIEW,2026-05-01T03:18:00+00:00,2026-05-11T03:18:00+00:00
KEPCASE000067,U0001012,SOR2026000067,SAYI2026000067,REGULATORY_REVIEW,2026-05-01T03:21:00+00:00,2026-05-11T03:21:00+00:00
KEPCASE000068,U0000821,SOR2026000068,SAYI2026000068,REGULATORY_REVIEW,2026-05-01T03:24:00+00:00,2026-05-11T03:24:00+00:00
KEPCASE000069,U0000372,SOR2026000069,SAYI2026000069,REGULATORY_REVIEW,2026-05-01T03:27:00+00:00,2026-05-11T03:27:00+00:00
KEPCASE000070,U0001113,SOR2026000070,SAYI2026000070,REGULATORY_REVIEW,2026-05-01T03:30:00+00:00,2026-05-11T03:30:00+00:00
KEPCASE000071,U0000776,SOR2026000071,SAYI2026000071,REGULATORY_REVIEW,2026-05-01T03:33:00+00:00,2026-05-11T03:33:00+00:00
KEPCASE000072,U0000173,SOR2026000072,SAYI2026000072,REGULATORY_REVIEW,2026-05-01T03:36:00+00:00,2026-05-11T03:36:00+00:00
KEPCASE000073,U0000969,SOR2026000073,SAYI2026000073,REGULATORY_REVIEW,2026-05-01T03:39:00+00:00,2026-05-11T03:39:00+00:00
KEPCASE000074,U0000050,SOR2026000074,SAYI2026000074,REGULATORY_REVIEW,2026-05-01T03:42:00+00:00,2026-05-11T03:42:00+00:00
KEPCASE000075,U0001169,SOR2026000075,SAYI2026000075,REGULATORY_REVIEW,2026-05-01T03:45:00+00:00,2026-05-11T03:45:00+00:00
KEPCASE000076,U0000918,SOR2026000076,SAYI2026000076,REGULATORY_REVIEW,2026-05-01T03:48:00+00:00,2026-05-11T03:48:00+00:00
KEPCASE000077,U0000787,SOR2026000077,SAYI2026000077,REGULATORY_REVIEW,2026-05-01T03:51:00+00:00,2026-05-11T03:51:00+00:00
KEPCASE000078,U0001134,SOR2026000078,SAYI2026000078,REGULATORY_REVIEW,2026-05-01T03:54:00+00:00,2026-05-11T03:54:00+00:00
KEPCASE000079,U0000281,SOR2026000079,SAYI2026000079,REGULATORY_REVIEW,2026-05-01T03:57:00+00:00,2026-05-11T03:57:00+00:00
KEPCASE000080,U0000549,SOR2026000080,SAYI2026000080,REGULATORY_REVIEW,2026-05-01T04:00:00+00:00,2026-05-11T04:00:00+00:00
KEPCASE000081,U0001143,SOR2026000081,SAYI2026000081,REGULATORY_REVIEW,2026-05-01T04:03:00+00:00,2026-05-11T04:03:00+00:00
KEPCASE000082,U0000171,SOR2026000082,SAYI2026000082,REGULATORY_REVIEW,2026-05-01T04:06:00+00:00,2026-05-11T04:06:00+00:00
KEPCASE000083,U0000717,SOR2026000083,SAYI2026000083,REGULATORY_REVIEW,2026-05-01T04:09:00+00:00,2026-05-11T04:09:00+00:00
KEPCASE000084,U0000774,SOR2026000084,SAYI2026000084,REGULATORY_REVIEW,2026-05-01T04:12:00+00:00,2026-05-11T04:12:00+00:00
KEPCASE000085,U0001082,SOR2026000085,SAYI2026000085,REGULATORY_REVIEW,2026-05-01T04:15:00+00:00,2026-05-11T04:15:00+00:00
KEPCASE000086,U0001053,SOR2026000086,SAYI2026000086,REGULATORY_REVIEW,2026-05-01T04:18:00+00:00,2026-05-11T04:18:00+00:00
KEPCASE000087,U0000915,SOR2026000087,SAYI2026000087,REGULATORY_REVIEW,2026-05-01T04:21:00+00:00,2026-05-11T04:21:00+00:00
KEPCASE000088,U0000795,SOR2026000088,SAYI2026000088,REGULATORY_REVIEW,2026-05-01T04:24:00+00:00,2026-05-11T04:24:00+00:00
KEPCASE000089,U0000481,SOR2026000089,SAYI2026000089,REGULATORY_REVIEW,2026-05-01T04:27:00+00:00,2026-05-11T04:27:00+00:00
KEPCASE000090,U0000434,SOR2026000090,SAYI2026000090,REGULATORY_REVIEW,2026-05-01T04:30:00+00:00,2026-05-11T04:30:00+00:00
KEPCASE000091,U0000904,SOR2026000091,SAYI2026000091,REGULATORY_REVIEW,2026-05-01T04:33:00+00:00,2026-05-11T04:33:00+00:00
KEPCASE000092,U0000519,SOR2026000092,SAYI2026000092,ICRA,2026-05-01T04:36:00+00:00,2026-05-11T04:36:00+00:00
KEPCASE000093,U0000518,SOR2026000093,SAYI2026000093,REGULATORY_REVIEW,2026-05-01T04:39:00+00:00,2026-05-11T04:39:00+00:00
KEPCASE000094,U0000374,SOR2026000094,SAYI2026000094,REGULATORY_REVIEW,2026-05-01T04:42:00+00:00,2026-05-11T04:42:00+00:00
KEPCASE000095,U0000773,SOR2026000095,SAYI2026000095,REGULATORY_REVIEW,2026-05-01T04:45:00+00:00,2026-05-11T04:45:00+00:00
KEPCASE000096,U0000651,SOR2026000096,SAYI2026000096,REGULATORY_REVIEW,2026-05-01T04:48:00+00:00,2026-05-11T04:48:00+00:00
KEPCASE000097,U0000293,SOR2026000097,SAYI2026000097,REGULATORY_REVIEW,2026-05-01T04:51:00+00:00,2026-05-11T04:51:00+00:00
KEPCASE000098,U0001035,SOR2026000098,SAYI2026000098,REGULATORY_REVIEW,2026-05-01T04:54:00+00:00,2026-05-11T04:54:00+00:00
KEPCASE000099,U0000467,SOR2026000099,SAYI2026000099,REGULATORY_REVIEW,2026-05-01T04:57:00+00:00,2026-05-11T04:57:00+00:00
KEPCASE000100,U0000775,SOR2026000100,SAYI2026000100,REGULATORY_REVIEW,2026-05-01T05:00:00+00:00,2026-05-11T05:00:00+00:00
KEPCASE000101,U0001170,SOR2026000101,SAYI2026000101,REGULATORY_REVIEW,2026-05-01T05:03:00+00:00,2026-05-11T05:03:00+00:00
KEPCASE000102,U0000625,SOR2026000102,SAYI2026000102,REGULATORY_REVIEW,2026-05-01T05:06:00+00:00,2026-05-11T05:06:00+00:00
KEPCASE000103,U0000238,SOR2026000103,SAYI2026000103,REGULATORY_REVIEW,2026-05-01T05:09:00+00:00,2026-05-11T05:09:00+00:00
KEPCASE000104,U0000829,SOR2026000104,SAYI2026000104,REGULATORY_REVIEW,2026-05-01T05:12:00+00:00,2026-05-11T05:12:00+00:00
KEPCASE000105,U0000356,SOR2026000105,SAYI2026000105,REGULATORY_REVIEW,2026-05-01T05:15:00+00:00,2026-05-11T05:15:00+00:00
KEPCASE000106,U0000819,SOR2026000106,SAYI2026000106,REGULATORY_REVIEW,2026-05-01T05:18:00+00:00,2026-05-11T05:18:00+00:00
KEPCASE000107,U0000189,SOR2026000107,SAYI2026000107,REGULATORY_REVIEW,2026-05-01T05:21:00+00:00,2026-05-11T05:21:00+00:00
KEPCASE000108,U0000063,SOR2026000108,SAYI2026000108,REGULATORY_REVIEW,2026-05-01T05:24:00+00:00,2026-05-11T05:24:00+00:00
KEPCASE000109,U0000174,SOR2026000109,SAYI2026000109,REGULATORY_REVIEW,2026-05-01T05:27:00+00:00,2026-05-11T05:27:00+00:00
KEPCASE000110,U0000154,SOR2026000110,SAYI2026000110,REGULATORY_REVIEW,2026-05-01T05:30:00+00:00,2026-05-11T05:30:00+00:00
KEPCASE000111,U0001149,SOR2026000111,SAYI2026000111,REGULATORY_REVIEW,2026-05-01T05:33:00+00:00,2026-05-11T05:33:00+00:00
KEPCASE000112,U0000803,SOR2026000112,SAYI2026000112,REGULATORY_REVIEW,2026-05-01T05:36:00+00:00,2026-05-11T05:36:00+00:00
KEPCASE000113,U0000837,SOR2026000113,SAYI2026000113,REGULATORY_REVIEW,2026-05-01T05:39:00+00:00,2026-05-11T05:39:00+00:00
KEPCASE000114,U0000906,SOR2026000114,SAYI2026000114,REGULATORY_REVIEW,2026-05-01T05:42:00+00:00,2026-05-11T05:42:00+00:00
KEPCASE000115,U0000630,SOR2026000115,SAYI2026000115,REGULATORY_REVIEW,2026-05-01T05:45:00+00:00,2026-05-11T05:45:00+00:00
KEPCASE000116,U0000634,SOR2026000116,SAYI2026000116,REGULATORY_REVIEW,2026-05-01T05:48:00+00:00,2026-05-11T05:48:00+00:00
KEPCASE000117,U0000670,SOR2026000117,SAYI2026000117,REGULATORY_REVIEW,2026-05-01T05:51:00+00:00,2026-05-11T05:51:00+00:00
KEPCASE000118,U0000067,SOR2026000118,SAYI2026000118,REGULATORY_REVIEW,2026-05-01T05:54:00+00:00,2026-05-11T05:54:00+00:00
KEPCASE000119,U0000140,SOR2026000119,SAYI2026000119,REGULATORY_REVIEW,2026-05-01T05:57:00+00:00,2026-05-11T05:57:00+00:00
KEPCASE000120,U0001142,SOR2026000120,SAYI2026000120,REGULATORY_REVIEW,2026-05-01T06:00:00+00:00,2026-05-11T06:00:00+00:00
KEPCASE000121,U0001065,SOR2026000121,SAYI2026000121,REGULATORY_REVIEW,2026-05-01T06:03:00+00:00,2026-05-11T06:03:00+00:00
KEPCASE000122,U0000035,SOR2026000122,SAYI2026000122,REGULATORY_REVIEW,2026-05-01T06:06:00+00:00,2026-05-11T06:06:00+00:00
KEPCASE000123,U0000923,SOR2026000123,SAYI2026000123,REGULATORY_REVIEW,2026-05-01T06:09:00+00:00,2026-05-11T06:09:00+00:00
KEPCASE000124,U0000160,SOR2026000124,SAYI2026000124,REGULATORY_REVIEW,2026-05-01T06:12:00+00:00,2026-05-11T06:12:00+00:00
KEPCASE000125,U0000101,SOR2026000125,SAYI2026000125,REGULATORY_REVIEW,2026-05-01T06:15:00+00:00,2026-05-11T06:15:00+00:00
KEPCASE000126,U0000494,SOR2026000126,SAYI2026000126,REGULATORY_REVIEW,2026-05-01T06:18:00+00:00,2026-05-11T06:18:00+00:00
KEPCASE000127,U0000604,SOR2026000127,SAYI2026000127,REGULATORY_REVIEW,2026-05-01T06:21:00+00:00,2026-05-11T06:21:00+00:00
KEPCASE000128,U0001016,SOR2026000128,SAYI2026000128,REGULATORY_REVIEW,2026-05-01T06:24:00+00:00,2026-05-11T06:24:00+00:00
KEPCASE000129,U0000416,SOR2026000129,SAYI2026000129,REGULATORY_REVIEW,2026-05-01T06:27:00+00:00,2026-05-11T06:27:00+00:00
KEPCASE000130,U0001030,SOR2026000130,SAYI2026000130,REGULATORY_REVIEW,2026-05-01T06:30:00+00:00,2026-05-11T06:30:00+00:00
KEPCASE000131,U0000548,SOR2026000131,SAYI2026000131,REGULATORY_REVIEW,2026-05-01T06:33:00+00:00,2026-05-11T06:33:00+00:00
KEPCASE000132,U0000289,SOR2026000132,SAYI2026000132,REGULATORY_REVIEW,2026-05-01T06:36:00+00:00,2026-05-11T06:36:00+00:00
KEPCASE000133,U0000357,SOR2026000133,SAYI2026000133,REGULATORY_REVIEW,2026-05-01T06:39:00+00:00,2026-05-11T06:39:00+00:00
KEPCASE000134,U0000216,SOR2026000134,SAYI2026000134,REGULATORY_REVIEW,2026-05-01T06:42:00+00:00,2026-05-11T06:42:00+00:00
KEPCASE000135,U0000939,SOR2026000135,SAYI2026000135,REGULATORY_REVIEW,2026-05-01T06:45:00+00:00,2026-05-11T06:45:00+00:00
KEPCASE000136,U0000893,SOR2026000136,SAYI2026000136,REGULATORY_REVIEW,2026-05-01T06:48:00+00:00,2026-05-11T06:48:00+00:00
KEPCASE000137,U0000744,SOR2026000137,SAYI2026000137,REGULATORY_REVIEW,2026-05-01T06:51:00+00:00,2026-05-11T06:51:00+00:00
KEPCASE000138,U0000712,SOR2026000138,SAYI2026000138,REGULATORY_REVIEW,2026-05-01T06:54:00+00:00,2026-05-11T06:54:00+00:00
KEPCASE000139,U0000198,SOR2026000139,SAYI2026000139,REGULATORY_REVIEW,2026-05-01T06:57:00+00:00,2026-05-11T06:57:00+00:00
KEPCASE000140,U0000057,SOR2026000140,SAYI2026000140,REGULATORY_REVIEW,2026-05-01T07:00:00+00:00,2026-05-11T07:00:00+00:00
KEPCASE000141,U0000429,SOR2026000141,SAYI2026000141,REGULATORY_REVIEW,2026-05-01T07:03:00+00:00,2026-05-11T07:03:00+00:00
KEPCASE000142,U0000456,SOR2026000142,SAYI2026000142,REGULATORY_REVIEW,2026-05-01T07:06:00+00:00,2026-05-11T07:06:00+00:00
KEPCASE000143,U0001114,SOR2026000143,SAYI2026000143,REGULATORY_REVIEW,2026-05-01T07:09:00+00:00,2026-05-11T07:09:00+00:00
KEPCASE000144,U0000527,SOR2026000144,SAYI2026000144,REGULATORY_REVIEW,2026-05-01T07:12:00+00:00,2026-05-11T07:12:00+00:00
KEPCASE000145,U0000713,SOR2026000145,SAYI2026000145,REGULATORY_REVIEW,2026-05-01T07:15:00+00:00,2026-05-11T07:15:00+00:00
KEPCASE000146,U0000079,SOR2026000146,SAYI2026000146,REGULATORY_REVIEW,2026-05-01T07:18:00+00:00,2026-05-11T07:18:00+00:00
KEPCASE000147,U0001135,SOR2026000147,SAYI2026000147,REGULATORY_REVIEW,2026-05-01T07:21:00+00:00,2026-05-11T07:21:00+00:00
KEPCASE000148,U0001167,SOR2026000148,SAYI2026000148,ICRA,2026-05-01T07:24:00+00:00,2026-05-11T07:24:00+00:00
KEPCASE000149,U0000754,SOR2026000149,SAYI2026000149,REGULATORY_REVIEW,2026-05-01T07:27:00+00:00,2026-05-11T07:27:00+00:00
KEPCASE000150,U0000842,SOR2026000150,SAYI2026000150,REGULATORY_REVIEW,2026-05-01T07:30:00+00:00,2026-05-11T07:30:00+00:00
KEPCASE000151,U0000925,SOR2026000151,SAYI2026000151,REGULATORY_REVIEW,2026-05-01T07:33:00+00:00,2026-05-11T07:33:00+00:00
KEPCASE000152,U0000096,SOR2026000152,SAYI2026000152,REGULATORY_REVIEW,2026-05-01T07:36:00+00:00,2026-05-11T07:36:00+00:00
KEPCASE000153,U0000407,SOR2026000153,SAYI2026000153,REGULATORY_REVIEW,2026-05-01T07:39:00+00:00,2026-05-11T07:39:00+00:00
KEPCASE000154,U0001192,SOR2026000154,SAYI2026000154,REGULATORY_REVIEW,2026-05-01T07:42:00+00:00,2026-05-11T07:42:00+00:00
KEPCASE000155,U0000806,SOR2026000155,SAYI2026000155,REGULATORY_REVIEW,2026-05-01T07:45:00+00:00,2026-05-11T07:45:00+00:00
KEPCASE000156,U0000279,SOR2026000156,SAYI2026000156,REGULATORY_REVIEW,2026-05-01T07:48:00+00:00,2026-05-11T07:48:00+00:00
KEPCASE000157,U0000571,SOR2026000157,SAYI2026000157,REGULATORY_REVIEW,2026-05-01T07:51:00+00:00,2026-05-11T07:51:00+00:00
KEPCASE000158,U0000352,SOR2026000158,SAYI2026000158,REGULATORY_REVIEW,2026-05-01T07:54:00+00:00,2026-05-11T07:54:00+00:00
KEPCASE000159,U0000273,SOR2026000159,SAYI2026000159,REGULATORY_REVIEW,2026-05-01T07:57:00+00:00,2026-05-11T07:57:00+00:00
KEPCASE000160,U0001136,SOR2026000160,SAYI2026000160,REGULATORY_REVIEW,2026-05-01T08:00:00+00:00,2026-05-11T08:00:00+00:00
KEPCASE000161,U0000341,SOR2026000161,SAYI2026000161,REGULATORY_REVIEW,2026-05-01T08:03:00+00:00,2026-05-11T08:03:00+00:00
KEPCASE000162,U0001054,SOR2026000162,SAYI2026000162,REGULATORY_REVIEW,2026-05-01T08:06:00+00:00,2026-05-11T08:06:00+00:00
KEPCASE000163,U0000841,SOR2026000163,SAYI2026000163,REGULATORY_REVIEW,2026-05-01T08:09:00+00:00,2026-05-11T08:09:00+00:00
KEPCASE000164,U0000660,SOR2026000164,SAYI2026000164,REGULATORY_REVIEW,2026-05-01T08:12:00+00:00,2026-05-11T08:12:00+00:00
KEPCASE000165,U0000741,SOR2026000165,SAYI2026000165,REGULATORY_REVIEW,2026-05-01T08:15:00+00:00,2026-05-11T08:15:00+00:00
KEPCASE000166,U0000312,SOR2026000166,SAYI2026000166,REGULATORY_REVIEW,2026-05-01T08:18:00+00:00,2026-05-11T08:18:00+00:00
KEPCASE000167,U0000271,SOR2026000167,SAYI2026000167,ICRA,2026-05-01T08:21:00+00:00,2026-05-11T08:21:00+00:00
KEPCASE000168,U0001145,SOR2026000168,SAYI2026000168,REGULATORY_REVIEW,2026-05-01T08:24:00+00:00,2026-05-11T08:24:00+00:00
KEPCASE000169,U0000187,SOR2026000169,SAYI2026000169,REGULATORY_REVIEW,2026-05-01T08:27:00+00:00,2026-05-11T08:27:00+00:00
KEPCASE000170,U0000445,SOR2026000170,SAYI2026000170,ICRA,2026-05-01T08:30:00+00:00,2026-05-11T08:30:00+00:00
KEPCASE000171,U0000385,SOR2026000171,SAYI2026000171,REGULATORY_REVIEW,2026-05-01T08:33:00+00:00,2026-05-11T08:33:00+00:00
KEPCASE000172,U0000052,SOR2026000172,SAYI2026000172,REGULATORY_REVIEW,2026-05-01T08:36:00+00:00,2026-05-11T08:36:00+00:00
KEPCASE000173,U0000905,SOR2026000173,SAYI2026000173,REGULATORY_REVIEW,2026-05-01T08:39:00+00:00,2026-05-11T08:39:00+00:00
KEPCASE000174,U0000635,SOR2026000174,SAYI2026000174,REGULATORY_REVIEW,2026-05-01T08:42:00+00:00,2026-05-11T08:42:00+00:00
KEPCASE000175,U0000314,SOR2026000175,SAYI2026000175,REGULATORY_REVIEW,2026-05-01T08:45:00+00:00,2026-05-11T08:45:00+00:00
KEPCASE000176,U0000736,SOR2026000176,SAYI2026000176,REGULATORY_REVIEW,2026-05-01T08:48:00+00:00,2026-05-11T08:48:00+00:00
KEPCASE000177,U0001173,SOR2026000177,SAYI2026000177,REGULATORY_REVIEW,2026-05-01T08:51:00+00:00,2026-05-11T08:51:00+00:00
KEPCASE000178,U0000807,SOR2026000178,SAYI2026000178,REGULATORY_REVIEW,2026-05-01T08:54:00+00:00,2026-05-11T08:54:00+00:00
