review_rank,user_id,fraud_label,label_observed_at,fold,decision_tree_depth3_score,xgboost_oof_score,graph_score,xgboost_oof_percentile,combined_review_score,label_interpretation,automatic_relabel_allowed,automatic_enforcement_allowed,selection_lane,lane_rank,model_graph_overlap,swap_in_vs_model_only,review_status,review_reason,current_label,false_positive_conclusion_allowed,internal_str_candidate_only,automatic_external_filing_allowed,review_capacity
11,U0001155,0,2026-05-14 01:49:30+00:00,3,0.9672466734902765,0.83697909116745,0.0,0.99,0.495,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,6,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
12,U0000265,0,2026-03-11 01:01:41+00:00,0,0.9775147928994086,0.8053745627403259,0.0,0.9891666666666666,0.4945833333333333,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,7,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
13,U0000608,0,2026-04-03 11:08:10+00:00,2,0.9702258726899385,0.7833278775215149,0.0,0.9883333333333333,0.49416666666666664,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,8,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
14,U0000476,0,2026-05-19 07:59:20+00:00,4,0.9623217922606926,0.7752524018287659,0.0,0.9866666666666667,0.49333333333333335,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,9,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
15,U0000461,0,2026-03-25 21:26:50+00:00,3,0.0,0.6896802186965942,0.0,0.9833333333333333,0.49166666666666664,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,10,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
16,U0000739,0,2026-04-24 09:39:33+00:00,0,0.9775147928994086,0.6591281294822693,0.0,0.9816666666666667,0.49083333333333334,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,11,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
17,U0001170,0,2026-03-03 04:12:18+00:00,1,0.0,0.6460074186325073,0.0,0.9808333333333333,0.49041666666666667,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,12,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
18,U0001181,0,2026-04-29 12:07:18+00:00,0,0.0,0.6456412076950073,0.0,0.98,0.49,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,13,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
19,U0000164,0,2026-05-21 03:21:59+00:00,0,0.0,0.6382250785827637,0.0,0.9791666666666666,0.4895833333333333,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,14,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
20,U0000456,0,2026-03-07 10:18:25+00:00,4,0.0,0.6318204402923584,0.0,0.9783333333333334,0.4891666666666667,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,15,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
21,U0000108,0,2026-05-09 22:22:43+00:00,1,0.9702258726899385,0.6286587715148926,0.0,0.9775,0.48875,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,16,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
22,U0000681,0,2026-05-10 03:58:14+00:00,2,0.9702258726899385,0.6284823417663574,0.0,0.9766666666666667,0.48833333333333334,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,17,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
23,U0001100,0,2026-04-25 06:31:43+00:00,1,0.9702258726899385,0.6172803044319153,0.0,0.9758333333333333,0.48791666666666667,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,18,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
24,U0000615,0,2026-06-09 03:07:28+00:00,1,0.9702258726899385,0.608470618724823,0.0,0.975,0.4875,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,19,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
25,U0001150,0,2026-02-24 08:14:54+00:00,3,0.0,0.6068428158760071,0.0,0.9741666666666666,0.4870833333333333,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,20,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
26,U0000782,0,2026-05-26 11:46:01+00:00,2,0.9702258726899385,0.6036714911460876,0.0,0.9733333333333334,0.4866666666666667,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,21,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
27,U0000786,0,2026-04-16 16:16:59+00:00,4,0.9623217922606926,0.5900341272354126,0.0,0.9725,0.48625,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,22,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
28,U0001143,0,2026-03-01 02:32:43+00:00,4,0.9623217922606926,0.5891860127449036,0.0,0.9716666666666667,0.48583333333333334,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,23,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
29,U0000115,0,2026-04-25 03:58:27+00:00,3,0.9672466734902765,0.5870107412338257,0.0,0.9708333333333333,0.48541666666666666,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,24,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
30,U0000066,0,2026-04-24 16:51:36+00:00,1,0.9702258726899385,0.5863619446754456,0.0,0.97,0.485,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,25,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
31,U0000938,0,2026-03-16 17:00:26+00:00,1,0.9702258726899385,0.5854907631874084,0.0,0.9691666666666666,0.4845833333333333,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,26,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
32,U0000426,0,2026-06-18 20:36:33+00:00,3,0.9672466734902765,0.5578961968421936,0.0,0.9683333333333334,0.4841666666666667,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,27,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
33,U0001025,0,2026-05-23 21:46:41+00:00,0,0.0,0.02289261296391487,0.6132589765454988,0.355,0.4841294882727494,INCONCLUSIVE_UNCONFIRMED,False,False,GRAPH_RECALL,10,True,True,PENDING_MANUAL_REVIEW,EXPLAINABLE_GRAPH_RECALL_PATH,0,False,True,False,50
34,U0000162,0,2026-06-04 03:16:51+00:00,3,0.0,0.5461443066596985,0.0,0.9675,0.48375,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,28,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
35,U0000534,0,2026-05-06 22:06:36+00:00,0,0.9775147928994086,0.5250972509384155,0.0,0.965,0.4825,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,29,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
36,U0001198,0,2026-05-07 06:26:34+00:00,2,0.0,0.51664137840271,0.0,0.9641666666666666,0.4820833333333333,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,30,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
37,U0000825,0,2026-03-31 02:20:47+00:00,1,0.0,0.5083604454994202,0.0,0.9633333333333334,0.4816666666666667,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,31,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
38,U0000407,0,2026-03-08 08:33:06+00:00,4,0.0,0.496584951877594,0.0,0.9625,0.48125,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,32,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
39,U0000956,0,2026-03-31 01:44:14+00:00,1,0.0,0.4788312315940857,0.0,0.9616666666666667,0.48083333333333333,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,33,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
40,U0000337,0,2026-03-15 04:06:13+00:00,3,0.0,0.4656357169151306,0.0,0.96,0.48,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,34,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
41,U0000101,0,2026-03-04 23:27:18+00:00,3,0.9672466734902765,0.4630347490310669,0.0,0.9591666666666666,0.4795833333333333,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,35,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
42,U0001108,0,2026-02-22 16:52:09+00:00,1,0.0,0.018405966460704803,0.6321205588285577,0.28583333333333333,0.4589769460809455,INCONCLUSIVE_UNCONFIRMED,False,False,GRAPH_RECALL,2,True,True,PENDING_MANUAL_REVIEW,EXPLAINABLE_GRAPH_RECALL_PATH,0,False,True,False,50
43,U0000095,0,2026-06-19 03:42:20+00:00,1,0.0,0.020692255347967148,0.5725850680512733,0.3145833333333333,0.4435842006923033,INCONCLUSIVE_UNCONFIRMED,False,False,GRAPH_RECALL,15,True,True,PENDING_MANUAL_REVIEW,EXPLAINABLE_GRAPH_RECALL_PATH,0,False,True,False,50
44,U0000433,0,2026-05-17 02:06:36+00:00,4,0.0,0.01680011861026287,0.6321205588285577,0.25333333333333335,0.44272694608094554,INCONCLUSIVE_UNCONFIRMED,False,False,GRAPH_RECALL,6,True,True,PENDING_MANUAL_REVIEW,EXPLAINABLE_GRAPH_RECALL_PATH,0,False,True,False,50
45,U0000262,0,2026-06-11 12:09:24+00:00,4,0.0,0.011981950141489506,0.6321205588285577,0.14666666666666667,0.3893936127476122,INCONCLUSIVE_UNCONFIRMED,False,False,GRAPH_RECALL,8,True,True,PENDING_MANUAL_REVIEW,EXPLAINABLE_GRAPH_RECALL_PATH,0,False,True,False,50
46,U0000009,0,2026-04-21 13:05:06+00:00,0,0.0,0.011461911723017693,0.6321205588285577,0.12166666666666667,0.3768936127476122,INCONCLUSIVE_UNCONFIRMED,False,False,GRAPH_RECALL,9,True,True,PENDING_MANUAL_REVIEW,EXPLAINABLE_GRAPH_RECALL_PATH,0,False,True,False,50
47,U0000179,0,2026-04-05 18:07:04+00:00,1,0.0,0.011096067726612091,0.6132589765454988,0.09916666666666667,0.3562128216060827,INCONCLUSIVE_UNCONFIRMED,False,False,GRAPH_RECALL,12,True,True,PENDING_MANUAL_REVIEW,EXPLAINABLE_GRAPH_RECALL_PATH,0,False,True,False,50
48,U0000770,0,2026-06-10 23:00:04+00:00,0,0.0,0.01079565193504095,0.6321205588285577,0.07833333333333334,0.3552269460809455,INCONCLUSIVE_UNCONFIRMED,False,False,GRAPH_RECALL,4,True,True,PENDING_MANUAL_REVIEW,EXPLAINABLE_GRAPH_RECALL_PATH,0,False,True,False,50
49,U0000687,0,2026-06-08 04:51:01+00:00,0,0.0,0.009195183403789997,0.6321205588285577,0.027083333333333334,0.3296019460809455,INCONCLUSIVE_UNCONFIRMED,False,False,GRAPH_RECALL,5,True,True,PENDING_MANUAL_REVIEW,EXPLAINABLE_GRAPH_RECALL_PATH,0,False,True,False,50
50,U0000518,0,2026-03-02 10:49:43+00:00,2,0.0,0.010084510780870914,0.5725850680512733,0.06041666666666667,0.31650086735897,INCONCLUSIVE_UNCONFIRMED,False,False,GRAPH_RECALL,14,True,True,PENDING_MANUAL_REVIEW,EXPLAINABLE_GRAPH_RECALL_PATH,0,False,True,False,50
