user_id,customer_name,registration_time,registration_channel,kyc_level,fraud_label,label_observed_at,feature_cutoff,registration_to_kyc_minutes,kyc_to_first_deposit_minutes,deposit_count,trade_count,withdrawal_count,deposit_amount,trade_amount,withdrawal_amount,withdraw_deposit_ratio,trade_deposit_ratio,fund_loop_cv,amount_diff_ratio,small_fiat_deposit_count,withdraw_address_unique_count,withdraw_ip_unique_count,deposit_ip_unique_count,device_unique_count,api_event_ratio,night_event_ratio,total_event_count,bank_risk_max,bank_risk_mean,bank_name_match_ratio,asset_pair_unique_count,withdraw_deposit_ip_ratio
U0000017,Synthetic_User_00017,2026-03-11 13:31:54+00:00,WEB,L2,1,2026-05-02 13:31:54+00:00,2026-04-25 13:31:54+00:00,145.0,552.0,9,21,8,4808.53669,6940.5768530000005,6078.485933,1.2641030577225356,1.4433864812623485,0.14736046681710216,0.35877631745152416,9.0,2,2,2,2,0.08433734939759036,0.14457831325301204,83,0.9,0.4555555555555555,1.0,6,1.0
U0000018,Synthetic_User_00018,2026-01-24 16:50:47+00:00,ANDROID,L2,0,2026-03-17 16:50:47+00:00,2026-03-10 16:50:47+00:00,148.0,1897.0,2,10,4,4649.026664999999,4002.691176,4981.304126,1.071472479067831,0.8609740198166835,0.08941164003598256,0.21534762117353526,0.0,2,3,1,2,0.15625,0.25,32,0.9,0.9,0.5,3,3.0
U0000019,Synthetic_User_00019,2026-04-06 14:28:21+00:00,ANDROID,L2,0,2026-05-28 14:28:21+00:00,2026-05-21 14:28:21+00:00,272.0,1561.0,6,15,3,4621.648829,2839.117719,3722.053524,0.8053518693685241,0.614308404650967,0.19522603446877965,0.4781972074637526,5.0,1,2,2,1,0.12962962962962962,0.2962962962962963,54,0.9,0.39999999999999997,1.0,5,1.0
U0000020,Synthetic_User_00020,2026-01-02 02:50:32+00:00,H5,L2,0,2026-02-23 02:50:32+00:00,2026-02-16 02:50:32+00:00,262.0,1272.0,7,17,7,4673.876815,4868.960765,4101.445275,0.8775253258359571,1.0417392151572997,0.07161583315375039,0.16875540433084926,6.0,1,2,1,2,0.1,0.25,60,0.9,0.4714285714285714,0.8571428571428571,5,2.0
U0000021,Synthetic_User_00021,2026-01-24 16:51:58+00:00,IOS,L2,0,2026-03-17 16:51:58+00:00,2026-03-10 16:51:58+00:00,248.0,4496.0,4,16,3,2080.849478,2309.584073,1100.005053,0.5286326880583719,1.1099236621477528,0.28667907698119544,0.6609193402793581,4.0,2,1,2,2,0.12,0.24,50,1.0,0.5,1.0,4,0.5
U0000022,Synthetic_User_00022,2026-04-30 20:53:30+00:00,IOS,L1,0,2026-06-21 20:53:30+00:00,2026-06-14 20:53:30+00:00,102.0,1458.0,10,17,3,21399.119333000002,2819.691131,4103.28535,0.19175019710611377,0.13176669035401373,0.8974020402913855,1.9680141248038505,2.0,2,2,1,1,0.12857142857142856,0.2571428571428571,70,1.0,0.54,0.9,6,2.0
U0000023,Synthetic_User_00023,2026-03-08 07:47:01+00:00,ANDROID,L2,0,2026-04-29 07:47:01+00:00,2026-04-22 07:47:01+00:00,171.0,2087.0,11,19,12,3325.50187,3701.012897,1690.544914,0.5083578299115495,1.1129186034708198,0.30037773490162045,0.6919080710375601,11.0,3,3,1,3,0.09803921568627451,0.22549019607843138,102,1.0,0.4818181818181818,1.0,5,3.0
U0000024,Synthetic_User_00024,2026-04-20 02:27:04+00:00,WEB,L2,0,2026-06-11 02:27:04+00:00,2026-06-04 02:27:04+00:00,236.0,4843.0,5,8,7,6032.185495,3205.351914,502.369599,0.08328152365612888,0.5313748916801173,0.6954049816240728,1.7032449770181626,2.0,1,2,1,1,0.10869565217391304,0.34782608695652173,46,0.7,0.39999999999999997,0.8,4,2.0
U0000025,Synthetic_User_00025,2026-04-21 04:13:51+00:00,ANDROID,L2,0,2026-06-12 04:13:51+00:00,2026-06-05 04:13:51+00:00,349.0,4695.0,8,13,3,6168.5592719999995,6291.6889,834.5983309999999,0.13529874549286813,1.0199608405416325,0.5740506840658212,1.2313998287461088,5.0,2,2,1,3,0.10526315789473684,0.24561403508771928,57,0.8,0.35,1.0,5,2.0
U0000026,Synthetic_User_00026,2026-04-28 09:45:58+00:00,WEB,L2,0,2026-06-19 09:45:58+00:00,2026-06-12 09:45:58+00:00,331.0,2923.0,7,18,2,5039.450667,2668.497148,2661.739663,0.5281805178548442,0.5295214348409455,0.32381140630412975,0.6878831234917571,6.0,1,2,2,3,0.16326530612244897,0.1836734693877551,49,0.7,0.3142857142857142,0.8571428571428571,5,1.0
U0000027,Synthetic_User_00027,2026-04-10 16:42:00+00:00,ANDROID,L2,0,2026-06-01 16:42:00+00:00,2026-05-25 16:42:00+00:00,92.0,3110.0,4,9,4,954.8043829999999,730.850876,265.835504,0.27841881408707364,0.7654456651148406,0.44112723722463254,1.059142413681002,4.0,1,1,2,1,0.11764705882352941,0.2647058823529412,34,0.7,0.32499999999999996,0.75,3,0.5
U0000028,Synthetic_User_00028,2026-04-20 11:32:14+00:00,ANDROID,L2,0,2026-06-11 11:32:14+00:00,2026-06-04 11:32:14+00:00,618.0,4578.0,8,11,4,13525.070182,8649.220719,2233.87586,0.1651655651275644,0.6394954408821419,0.5683184813507721,1.3877970966719255,5.0,3,3,2,2,0.12,0.24,50,0.8,0.4375,1.0,4,1.5
U0000029,Synthetic_User_00029,2026-04-29 18:09:17+00:00,ANDROID,L2,0,2026-06-20 18:09:17+00:00,2026-06-13 18:09:17+00:00,482.0,854.0,4,7,2,2225.498739,3218.4554,2363.924082,1.062199695094952,1.4461726459778506,0.16871756301254773,0.3815210609955541,4.0,2,2,1,1,0.045454545454545456,0.2727272727272727,22,0.4,0.25,1.0,4,2.0
U0000030,Synthetic_User_00030,2026-01-18 15:50:30+00:00,ANDROID,L2,0,2026-03-11 15:50:30+00:00,2026-03-04 15:50:30+00:00,142.0,996.0,4,6,4,2409.127658,3196.526626,787.2698340000001,0.32678626696501945,1.3268398689398135,0.4706989141016578,1.1305891079872816,3.0,1,2,2,1,0.09375,0.25,32,0.8,0.575,1.0,3,1.0
U0000031,Synthetic_User_00031,2026-01-07 00:31:46+00:00,IOS,L2,0,2026-02-28 00:31:46+00:00,2026-02-21 00:31:46+00:00,179.0,1719.0,4,6,1,1554.016946,1781.383985,413.696819,0.2662112662701942,1.1463092404399045,0.47882413146612735,1.0944130485794883,4.0,1,1,1,3,0.09090909090909091,0.2727272727272727,22,0.6,0.25,1.0,4,1.0
U0000032,Synthetic_User_00032,2026-03-09 11:41:56+00:00,WEB,L2,0,2026-04-30 11:41:56+00:00,2026-04-23 11:41:56+00:00,486.0,793.0,3,10,4,7702.779266,12639.486314,10242.779601999999,1.3297511519266219,1.6408994568740378,0.197712821707785,0.48422753851990696,0.0,1,1,1,3,0.14705882352941177,0.14705882352941177,34,0.8,0.43333333333333335,1.0,4,1.0
U0000033,Synthetic_User_00033,2026-02-12 00:45:23+00:00,ANDROID,L2,0,2026-04-05 00:45:23+00:00,2026-03-29 00:45:23+00:00,220.0,4302.0,2,3,2,9083.319593,16788.562293,7890.497247,0.8686799100497091,1.848284883198208,0.3504153505435107,0.7906491137026708,0.0,1,1,1,3,0.047619047619047616,0.47619047619047616,21,1.0,0.85,1.0,3,1.0
U0000034,Synthetic_User_00034,2026-03-26 00:37:33+00:00,IOS,L2,0,2026-05-17 00:37:33+00:00,2026-05-10 00:37:33+00:00,504.0,3202.0,1,8,5,6591.775162,5565.887766,2882.288654,0.4372553042488011,0.8443685698028667,0.3119660802040019,0.7399265525108922,0.0,2,1,1,2,0.20833333333333334,0.2916666666666667,24,0.1,0.1,1.0,4,1.0
U0000035,Synthetic_User_00035,2026-01-11 14:26:53+00:00,ANDROID,L2,0,2026-03-04 14:26:53+00:00,2026-02-25 14:26:53+00:00,412.0,3756.0,5,25,6,5952.448182,5772.726798,6609.027835,1.1103041358655543,0.9698071485034558,0.058815222049804376,0.13684277065743808,3.0,1,2,2,2,0.20833333333333334,0.2361111111111111,72,0.9,0.48,1.0,6,1.0
U0000036,Synthetic_User_00036,2026-02-19 16:14:31+00:00,IOS,L2,0,2026-04-12 16:14:31+00:00,2026-04-05 16:14:31+00:00,544.0,1626.0,3,8,6,6543.4928469999995,3858.362778,4164.323747,0.6364068616517585,0.5896488111496824,0.24718581387737865,0.5530201160700081,0.0,2,2,1,3,0.0625,0.25,32,0.7,0.5,1.0,3,2.0
U0000037,Synthetic_User_00037,2026-02-08 08:47:48+00:00,H5,L2,0,2026-04-01 08:47:48+00:00,2026-03-25 08:47:48+00:00,601.0,4335.0,5,26,4,10156.261838,14364.449776,8689.5691,0.8555873448917672,1.4143441755562978,0.2172688606701408,0.5126316809729089,0.0,2,1,1,3,0.17142857142857143,0.2571428571428571,70,1.0,0.66,1.0,6,1.0
U0000038,Synthetic_User_00038,2026-03-26 14:59:34+00:00,WEB,L2,0,2026-05-17 14:59:34+00:00,2026-05-10 14:59:34+00:00,66.0,4066.0,8,13,3,3068.449687,2876.724196,2015.1809440000002,0.6567423779303442,0.9375171469122414,0.17262888883015726,0.39694288730478966,7.0,2,1,2,1,0.14285714285714285,0.24489795918367346,49,1.0,0.45,1.0,5,0.5
U0000039,Synthetic_User_00039,2026-01-27 22:33:55+00:00,ANDROID,L1,0,2026-03-20 22:33:55+00:00,2026-03-13 22:33:55+00:00,445.0,4783.0,4,10,2,3198.372821,2640.630292,3494.481702,1.0925811021954028,0.8256167869680631,0.1137826280801796,0.2744477845920191,3.0,2,1,1,2,0.06896551724137931,0.1724137931034483,29,1.0,0.825,1.0,4,1.0
U0000040,Synthetic_User_00040,2026-03-23 02:38:46+00:00,WEB,L2,0,2026-05-14 02:38:46+00:00,2026-05-07 02:38:46+00:00,454.0,377.0,3,9,5,6237.55914,1703.328229,3030.783389,0.4858925295897074,0.2730760848545638,0.5204367899258938,1.2398013969824595,0.0,2,1,1,2,0.09090909090909091,0.24242424242424243,33,0.9,0.43333333333333335,1.0,4,1.0
U0000041,Synthetic_User_00041,2026-04-11 14:29:55+00:00,ANDROID,L1,0,2026-06-02 14:29:55+00:00,2026-05-26 14:29:55+00:00,611.0,2830.0,3,9,4,1175.159518,1166.19045,827.572535,0.7042214459603263,0.9923677867875637,0.15315756761240915,0.3290585200530541,3.0,2,3,1,1,0.05555555555555555,0.25,36,0.2,0.06666666666666667,1.0,5,3.0
U0000042,Synthetic_User_00042,2026-03-31 04:10:27+00:00,ANDROID,L2,0,2026-05-22 04:10:27+00:00,2026-05-15 04:10:27+00:00,581.0,4870.0,6,10,3,3738.030531,5401.571841999999,1346.6990489999998,0.3602696761922194,1.4450314937783475,0.47612380330285625,1.1600485137189487,4.0,2,2,1,1,0.14285714285714285,0.2857142857142857,35,0.9,0.45,0.8333333333333334,4,2.0
U0000043,Synthetic_User_00043,2026-03-25 14:26:22+00:00,ANDROID,L2,0,2026-05-16 14:26:22+00:00,2026-05-09 14:26:22+00:00,325.0,495.0,4,11,5,1204.5681240000001,832.626736,994.894351,0.8259344832206434,0.6912242814753414,0.15064365496471502,0.3680050573551545,4.0,1,2,1,3,0.125,0.225,40,0.9,0.425,1.0,5,2.0
U0000044,Synthetic_User_00044,2026-02-06 11:33:11+00:00,IOS,L2,0,2026-03-30 11:33:11+00:00,2026-03-23 11:33:11+00:00,607.0,4416.0,7,13,6,868.580216,779.119884,420.51056400000004,0.48413555392332364,0.8970039492587292,0.28083975897958724,0.6499381225509432,7.0,3,2,1,3,0.16,0.16,50,1.0,0.4714285714285714,0.8571428571428571,5,2.0
U0000045,Synthetic_User_00045,2026-04-08 11:33:49+00:00,ANDROID,L2,0,2026-05-30 11:33:49+00:00,2026-05-23 11:33:49+00:00,126.0,4061.0,5,8,2,2723.5796840000003,718.912385,432.324472,0.15873391718250163,0.2639586384137531,0.789169540344149,1.7739589896109098,5.0,1,2,1,3,0.10526315789473684,0.18421052631578946,38,0.9,0.5,1.0,4,2.0
U0000046,Synthetic_User_00046,2026-04-24 15:13:57+00:00,WEB,L2,0,2026-06-15 15:13:57+00:00,2026-06-08 15:13:57+00:00,411.0,3838.0,5,13,3,3703.377086,1222.943763,1059.454698,0.2860779967573629,0.33022393739571787,0.6062697870274723,1.3251026707767732,4.0,2,2,2,1,0.16666666666666666,0.25,48,0.6,0.36,1.0,5,1.0
U0000047,Synthetic_User_00047,2026-04-04 18:53:44+00:00,IOS,L1,0,2026-05-26 18:53:44+00:00,2026-05-19 18:53:44+00:00,279.0,4856.0,6,16,6,4010.022215,3076.205948,1154.444131,0.287889709608504,0.7671294030474591,0.4327853027558695,1.0395673977033892,6.0,1,2,2,3,0.11290322580645161,0.22580645161290322,62,1.0,0.48333333333333334,0.6666666666666666,6,1.0
U0000048,Synthetic_User_00048,2026-02-28 20:34:59+00:00,ANDROID,L2,0,2026-04-21 20:34:59+00:00,2026-04-14 20:34:59+00:00,354.0,4213.0,6,25,5,3029.79354,3109.697309,1570.271989,0.5182768951972879,1.0263726778557987,0.27534343228654284,0.5990166049255587,6.0,1,1,1,3,0.19736842105263158,0.2894736842105263,76,0.9,0.5166666666666667,0.8333333333333334,5,1.0
U0000049,Synthetic_User_00049,2026-03-21 02:55:36+00:00,WEB,L2,0,2026-05-12 02:55:36+00:00,2026-05-05 02:55:36+00:00,505.0,4701.0,5,16,9,1597.478685,2498.920349,2752.454899,1.7229994521022356,1.564290260937034,0.21710080316014818,0.5059136427636234,5.0,3,1,2,2,0.16071428571428573,0.23214285714285715,56,1.0,0.45999999999999996,1.0,6,0.5
U0000050,Synthetic_User_00050,2026-01-07 13:40:39+00:00,ANDROID,L2,1,2026-02-28 13:40:39+00:00,2026-02-21 13:40:39+00:00,359.0,420.0,12,21,6,4912.519894999999,4219.545618,4465.855186,0.9090762544382531,0.8589371052307974,0.06327877961611701,0.15288534747469765,12.0,2,2,1,3,0.09210526315789473,0.15789473684210525,76,0.9,0.35833333333333334,0.9166666666666666,5,2.0
U0000051,Synthetic_User_00051,2026-01-26 06:40:49+00:00,IOS,L2,0,2026-03-19 06:40:49+00:00,2026-03-12 06:40:49+00:00,234.0,305.0,5,13,3,11146.866687,7350.381805,1060.0742989999999,0.09510065283514231,0.659412372229441,0.6380713917831745,1.547265824028092,0.0,2,2,1,2,0.12244897959183673,0.3877551020408163,49,0.6,0.31999999999999995,1.0,5,2.0
U0000052,Synthetic_User_00052,2026-01-17 04:40:57+00:00,H5,L2,0,2026-03-10 04:40:57+00:00,2026-03-03 04:40:57+00:00,143.0,3219.0,7,18,6,17566.193876,22600.753613,13597.619779,0.774078885556301,1.2866050421929203,0.20556801506207725,0.502364342809017,1.0,3,1,2,1,0.10344827586206896,0.3275862068965517,58,0.6,0.34285714285714286,1.0,5,0.5
U0000053,Synthetic_User_00053,2026-03-02 16:30:37+00:00,ANDROID,L2,0,2026-04-23 16:30:37+00:00,2026-04-16 16:30:37+00:00,644.0,1722.0,4,9,2,17840.192193,34862.706427,1983.3862100000001,0.11117515935608734,1.9541665274592257,0.7365139968499309,1.8037056449826492,0.0,1,1,1,3,0.0967741935483871,0.2903225806451613,31,0.8,0.325,1.0,3,1.0
U0000054,Synthetic_User_00054,2026-03-28 18:35:14+00:00,WEB,L2,0,2026-05-19 18:35:14+00:00,2026-05-12 18:35:14+00:00,279.0,1345.0,6,7,4,5594.716612,4782.422373,3172.595779,0.5670699695843683,0.8548104765024692,0.22285366665957052,0.536273412399617,3.0,2,2,1,3,0.08823529411764706,0.2647058823529412,34,0.8,0.2833333333333334,1.0,3,2.0
U0000055,Synthetic_User_00055,2026-02-26 16:20:18+00:00,WEB,L2,0,2026-04-19 16:20:18+00:00,2026-04-12 16:20:18+00:00,98.0,893.0,9,25,8,4947.128094,5034.268074,6075.776678,1.228142179170346,1.0176142558559753,0.09579766311841191,0.21086811386248944,8.0,2,3,1,1,0.16279069767441862,0.27906976744186046,86,1.0,0.4,1.0,5,3.0
U0000056,Synthetic_User_00056,2026-04-18 23:22:49+00:00,IOS,L2,0,2026-06-09 23:22:49+00:00,2026-06-02 23:22:49+00:00,479.0,1500.0,2,6,3,12582.616796,12038.11925,17081.983248,1.3575859079989103,0.9567262076857418,0.1626022074971628,0.36284425212955046,0.0,1,1,2,3,0.043478260869565216,0.34782608695652173,23,0.6,0.3,1.0,5,0.5
U0000057,Synthetic_User_00057,2026-01-14 08:09:58+00:00,ANDROID,L2,0,2026-03-07 08:09:58+00:00,2026-02-28 08:09:58+00:00,492.0,3302.0,8,22,5,1276.950997,1695.795493,696.9811119999999,0.5458166473399918,1.3280035780417658,0.3347896914826984,0.8165301264777637,8.0,2,2,1,2,0.17142857142857143,0.2571428571428571,70,0.9,0.525,0.75,6,2.0
U0000058,Synthetic_User_00058,2026-03-03 08:09:42+00:00,ANDROID,L2,0,2026-04-24 08:09:42+00:00,2026-04-17 08:09:42+00:00,537.0,1950.0,1,8,4,6222.738755,6770.776376,5428.394402,0.8723481116153654,1.0880701637297,0.08974502846709462,0.2186063238876508,0.0,3,3,1,3,0.14814814814814814,0.1111111111111111,27,0.5,0.5,1.0,6,3.0
U0000059,Synthetic_User_00059,2026-01-18 06:24:09+00:00,IOS,L2,0,2026-03-11 06:24:09+00:00,2026-03-04 06:24:09+00:00,303.0,1048.0,12,36,12,7614.730614,5110.806434,2512.132684,0.3299043408549922,0.6711736360841931,0.4101506253890679,1.0046020198123033,10.0,2,2,1,3,0.14285714285714285,0.23015873015873015,126,1.0,0.5166666666666667,0.9166666666666666,6,2.0
U0000060,Synthetic_User_00060,2026-03-15 22:28:04+00:00,WEB,L2,0,2026-05-06 22:28:04+00:00,2026-04-29 22:28:04+00:00,148.0,259.0,7,13,1,3502.722268,3761.165413,3166.117282,0.9039018910876436,1.073783510431607,0.07007425766530986,0.17115470216291595,7.0,1,1,1,3,0.11320754716981132,0.32075471698113206,53,0.8,0.4571428571428572,1.0,6,1.0
U0000061,Synthetic_User_00061,2026-03-17 19:30:27+00:00,IOS,L2,0,2026-05-08 19:30:27+00:00,2026-05-01 19:30:27+00:00,404.0,3575.0,10,31,16,550.752406,705.894309,313.40279,0.5690447950580537,1.2816908311427333,0.3084004200501359,0.7499601466388158,10.0,3,2,1,3,0.12962962962962962,0.1574074074074074,108,1.0,0.45,1.0,6,2.0
U0000062,Synthetic_User_00062,2026-04-19 02:03:02+00:00,WEB,L2,0,2026-06-10 02:03:02+00:00,2026-06-03 02:03:02+00:00,122.0,2734.0,5,19,6,685.521964,1841.986954,1235.957977,1.8029443867680366,2.6869845909123926,0.3764932729587003,0.9218614290481223,5.0,2,3,1,3,0.15,0.2833333333333333,60,1.0,0.5,1.0,5,3.0
U0000063,Synthetic_User_00063,2026-01-10 16:47:05+00:00,ANDROID,L1,0,2026-03-03 16:47:05+00:00,2026-02-24 16:47:05+00:00,188.0,2961.0,7,26,6,7554.982504,11533.29838,7953.4648609999995,1.0527443123513551,1.5265817457411284,0.1984581821167329,0.44135270483440464,3.0,1,1,1,2,0.1875,0.2125,80,1.0,0.35714285714285715,1.0,6,1.0
U0000064,Synthetic_User_00064,2026-01-19 00:40:25+00:00,IOS,L2,1,2026-03-12 00:40:25+00:00,2026-03-05 00:40:25+00:00,140.0,1252.0,18,32,11,13246.711878,10246.019186,11866.668861,0.8958199567024658,0.7734764128912988,0.10404642041223527,0.254587976467194,13.0,1,2,1,1,0.09278350515463918,0.26804123711340205,97,1.0,0.5888888888888889,0.8888888888888888,6,2.0
U0000065,Synthetic_User_00065,2026-04-17 03:15:10+00:00,ANDROID,L1,0,2026-06-08 03:15:10+00:00,2026-06-01 03:15:10+00:00,260.0,3590.0,10,22,3,13797.662392,11857.116518,5677.562068,0.41148724375890644,0.859356909970116,0.3315087658794789,0.7774810375357711,5.0,2,1,1,1,0.125,0.2777777777777778,72,0.8,0.44000000000000006,0.9,6,1.0
U0000066,Synthetic_User_00066,2026-03-03 16:51:36+00:00,IOS,L1,0,2026-04-24 16:51:36+00:00,2026-04-17 16:51:36+00:00,156.0,1210.0,7,21,5,4956.817707,4900.920615,4051.609159,0.8173811099162134,0.9887231898964002,0.08932988436494618,0.19523745795476832,5.0,1,1,2,2,0.19047619047619047,0.20634920634920634,63,0.7,0.37142857142857144,0.8571428571428571,5,0.5
U0000067,Synthetic_User_00067,2026-01-11 09:23:22+00:00,ANDROID,L2,0,2026-03-04 09:23:22+00:00,2026-02-25 09:23:22+00:00,240.0,2689.0,3,4,3,6516.229473,5867.0812399999995,1517.057559,0.23281217539774018,0.9003797770336747,0.4790171501229135,1.0789293814761747,0.0,1,2,1,1,0.1111111111111111,0.2777777777777778,18,0.8,0.5666666666666667,1.0,3,2.0
